Cohort Year,Division Number,Division Name,Type of Graduation Rate,Rate Type,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,GED,ISAEP,Certificate of Completion,Completion Rate,Dropout Rate,Dropouts,Still Enrolled,Long-Term Absence
2008,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,75.78%,223,169,82,0,80,<,<,3,6,0,79.82%,12.11%,27,9,9
2008,111,Galax City,On-Time Graduation Rate,4 yr rate,92.41%,79,73,48,0,22,<,<,1,1,0,94.94%,5.06%,4,0,0
2008,35,Giles County,On-Time Graduation Rate,4 yr rate,77.39%,230,178,48,0,116,<,<,9,7,0,84.35%,14.78%,34,2,0
2008,36,Gloucester County,On-Time Graduation Rate,4 yr rate,78.59%,509,400,182,0,200,<,16,0,36,0,85.66%,9.23%,47,26,0
2008,37,Goochland County,On-Time Graduation Rate,4 yr rate,80.91%,220,178,87,0,80,10,<,5,18,0,91.36%,7.73%,17,2,0
2008,38,Grayson County,On-Time Graduation Rate,4 yr rate,83.74%,203,170,68,0,94,<,0,11,0,<,90.15%,9.36%,19,1,0
2008,39,Greene County,On-Time Graduation Rate,4 yr rate,82.59%,224,185,78,0,99,<,<,1,10,0,87.50%,11.61%,26,2,0
2008,40,Greensville County,On-Time Graduation Rate,4 yr rate,81.58%,228,186,79,0,83,10,14,0,0,0,81.58%,14.04%,32,5,5
2008,41,Halifax County,On-Time Graduation Rate,4 yr rate,81.99%,433,355,150,0,171,<,31,37,6,<,92.38%,6.00%,26,4,3
2008,112,Hampton City,On-Time Graduation Rate,4 yr rate,71.95%,"1,936","1,393",528,9,785,43,28,6,155,12,80.89%,14.10%,273,69,28
2008,42,Hanover County,On-Time Graduation Rate,4 yr rate,91.73%,"1,548","1,420",832,42,480,59,<,10,34,0,94.57%,4.33%,67,17,0
2008,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,72.80%,386,281,156,0,101,<,23,13,6,19,82.64%,16.58%,64,2,1
2008,43,Henrico County,On-Time Graduation Rate,4 yr rate,81.97%,"3,899","3,196","1,521",88,"1,392",90,105,140,22,78,88.13%,9.36%,365,98,0
2008,44,Henry County,On-Time Graduation Rate,4 yr rate,75.25%,691,520,202,0,276,31,11,0,53,0,82.92%,16.21%,112,6,0
2008,45,Highland County,On-Time Graduation Rate,4 yr rate,96.15%,26,25,7,0,17,<,0,0,0,0,96.15%,0.00%,0,1,0
2008,114,Hopewell City,On-Time Graduation Rate,4 yr rate,58.31%,307,179,51,0,114,0,14,0,12,0,62.21%,31.60%,97,7,12
2008,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,80.43%,460,370,224,0,134,<,<,6,0,0,81.74%,17.17%,79,5,0
2008,48,King George County,On-Time Graduation Rate,4 yr rate,88.26%,298,263,114,0,138,<,<,0,1,0,88.59%,9.06%,27,7,0
2008,50,King William County,On-Time Graduation Rate,4 yr rate,92.55%,161,149,59,0,77,<,<,0,0,0,92.55%,6.83%,11,1,0
2008,49,King and Queen County,On-Time Graduation Rate,4 yr rate,60.34%,58,35,14,0,18,<,<,0,0,<,63.79%,31.03%,18,1,2
2008,51,Lancaster County,On-Time Graduation Rate,4 yr rate,88.00%,125,110,55,0,49,0,<,0,3,0,90.40%,5.60%,7,5,0
2008,52,Lee County,On-Time Graduation Rate,4 yr rate,64.47%,304,196,55,0,128,12,<,1,5,<,67.43%,29.61%,90,8,1
2008,53,Loudoun County,On-Time Graduation Rate,4 yr rate,93.57%,"3,421","3,201","2,215",0,919,31,36,4,47,<,95.32%,3.71%,127,31,2
2008,54,Louisa County,On-Time Graduation Rate,4 yr rate,81.92%,365,299,169,0,116,10,<,1,5,<,84.38%,14.25%,52,5,0
2008,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,74.34%,152,113,40,0,64,<,<,1,0,0,75.00%,21.71%,33,5,0
2008,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,73.83%,707,522,255,0,235,25,<,32,9,<,80.06%,13.58%,96,37,8
2008,56,Madison County,On-Time Graduation Rate,4 yr rate,84.04%,188,158,104,0,49,<,<,1,10,<,90.96%,8.51%,16,1,0
2008,143,Manassas City,On-Time Graduation Rate,4 yr rate,73.67%,528,389,224,0,142,<,17,0,47,0,82.58%,13.26%,70,16,6
2008,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,85.11%,141,120,36,0,70,10,<,0,4,0,87.94%,10.64%,15,2,0
2008,116,Martinsville City,On-Time Graduation Rate,4 yr rate,80.24%,248,199,92,3,93,<,<,11,0,0,84.68%,14.11%,35,2,1
2008,57,Mathews County,On-Time Graduation Rate,4 yr rate,87.25%,102,89,43,0,41,<,<,4,0,<,92.16%,3.92%,4,4,0
2008,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,82.46%,399,329,143,0,146,28,12,0,0,<,82.71%,15.79%,63,6,0
2008,59,Middlesex County,On-Time Graduation Rate,4 yr rate,82.91%,117,97,39,0,47,<,<,0,3,0,85.47%,10.26%,12,5,0
2008,60,Montgomery County,On-Time Graduation Rate,4 yr rate,80.27%,816,655,366,0,261,10,18,12,31,<,85.66%,13.11%,107,10,0
2008,62,Nelson County,On-Time Graduation Rate,4 yr rate,80.11%,186,149,66,0,69,<,11,0,25,0,93.55%,5.91%,11,1,0
2008,63,New Kent County,On-Time Graduation Rate,4 yr rate,80.00%,225,180,89,0,79,<,<,1,8,0,84.00%,14.67%,33,3,0
2008,117,Newport News City,On-Time Graduation Rate,4 yr rate,72.80%,"2,471","1,799",682,47,990,33,47,101,41,<,78.67%,14.29%,353,141,33
2008,118,Norfolk City,On-Time Graduation Rate,4 yr rate,73.21%,"1,997","1,462",588,15,786,<,64,65,8,0,76.87%,15.92%,318,144,0
2008,65,Northampton County,On-Time Graduation Rate,4 yr rate,73.81%,210,155,42,0,91,11,11,0,18,0,82.38%,15.24%,32,2,3
2008,66,Northumberland County,On-Time Graduation Rate,4 yr rate,80.85%,141,114,46,0,59,<,<,2,3,<,86.52%,9.93%,14,5,0
2008,119,Norton City,On-Time Graduation Rate,4 yr rate,83.93%,56,47,25,0,19,<,0,0,0,0,83.93%,14.29%,8,1,0
2008,67,Nottoway County,On-Time Graduation Rate,4 yr rate,76.56%,192,147,72,0,63,<,<,4,5,0,81.25%,15.63%,30,6,0
2008,68,Orange County,On-Time Graduation Rate,4 yr rate,85.44%,412,352,175,0,152,16,<,7,4,<,88.35%,9.71%,40,8,0
2008,69,Page County,On-Time Graduation Rate,4 yr rate,80.43%,281,226,93,0,125,<,<,4,14,<,90.04%,7.47%,21,6,1
2008,70,Patrick County,On-Time Graduation Rate,4 yr rate,85.52%,221,189,89,0,85,<,11,8,8,<,93.21%,4.98%,11,2,2
2008,120,Petersburg City,On-Time Graduation Rate,4 yr rate,58.20%,445,259,39,0,179,<,36,0,5,<,59.78%,33.48%,149,30,0
2008,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,82.07%,842,691,325,0,319,18,29,3,6,0,83.14%,14.85%,125,17,0
2008,142,Poquoson City,On-Time Graduation Rate,4 yr rate,94.71%,208,197,146,0,49,0,<,2,3,0,97.12%,0.96%,2,4,0
2008,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,60.70%,"1,173",712,246,0,426,17,23,39,0,0,64.02%,26.77%,314,77,31
2008,72,Powhatan County,On-Time Graduation Rate,4 yr rate,90.49%,305,276,151,0,117,0,<,5,1,0,92.46%,3.93%,12,7,4
2008,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,78.48%,223,175,77,0,84,<,11,7,5,0,83.86%,13.90%,31,5,0
2008,74,Prince George County,On-Time Graduation Rate,4 yr rate,77.96%,499,389,161,0,205,<,20,5,2,<,79.76%,17.84%,89,12,0
2008,75,Prince William County,On-Time Graduation Rate,4 yr rate,83.20%,"5,055","4,206","2,024",62,"1,975",70,75,64,66,0,85.78%,10.17%,514,186,19
2008,77,Pulaski County,On-Time Graduation Rate,4 yr rate,77.37%,433,335,106,0,202,0,27,0,36,<,86.61%,10.16%,44,7,7
2008,122,Radford City,On-Time Graduation Rate,4 yr rate,85.94%,128,110,57,0,50,<,<,10,0,0,93.75%,3.91%,5,1,2
2008,78,Rappahannock County,On-Time Graduation Rate,4 yr rate,87.78%,90,79,40,0,37,<,<,1,3,0,92.22%,7.78%,7,0,0
2008,123,Richmond City,On-Time Graduation Rate,4 yr rate,65.64%,"1,749","1,136",324,25,613,103,83,58,0,<,69.07%,24.76%,433,108,0
2008,79,Richmond County,On-Time Graduation Rate,4 yr rate,82.02%,89,73,29,0,39,<,<,2,0,0,84.27%,12.36%,11,3,0
2008,124,Roanoke City,On-Time Graduation Rate,4 yr rate,59.06%,916,541,196,3,276,16,50,38,62,25,72.71%,23.58%,216,34,0
2008,80,Roanoke County,On-Time Graduation Rate,4 yr rate,89.78%,"1,223","1,098",657,0,393,17,31,24,31,0,94.28%,4.42%,54,16,0
2008,81,Rockbridge County,On-Time Graduation Rate,4 yr rate,74.91%,275,206,80,0,115,<,<,25,14,0,89.09%,9.82%,27,3,0
2008,82,Rockingham County,On-Time Graduation Rate,4 yr rate,88.95%,896,797,374,0,376,14,33,7,9,<,91.63%,6.25%,56,19,0
2008,83,Russell County,On-Time Graduation Rate,4 yr rate,85.71%,364,312,125,0,157,24,<,8,11,<,91.21%,6.59%,24,8,0
2008,139,Salem City,On-Time Graduation Rate,4 yr rate,85.76%,330,283,185,0,92,<,<,9,6,0,90.30%,6.67%,22,10,0
2008,84,Scott County,On-Time Graduation Rate,4 yr rate,90.57%,297,269,132,0,103,21,13,12,0,0,94.61%,4.38%,13,3,0
2008,85,Shenandoah County,On-Time Graduation Rate,4 yr rate,85.66%,516,442,236,0,190,<,12,13,0,0,88.18%,9.88%,51,10,0
2008,86,Smyth County,On-Time Graduation Rate,4 yr rate,83.41%,410,342,107,0,205,21,<,4,24,0,90.24%,8.78%,36,4,0
2008,87,Southampton County,On-Time Graduation Rate,4 yr rate,74.89%,235,176,66,0,95,10,<,15,0,0,81.28%,15.32%,36,8,0
2008,88,Spotsylvania County,On-Time Graduation Rate,4 yr rate,80.15%,"1,864","1,494",894,0,548,29,23,2,90,<,85.25%,8.64%,161,88,26
2008,89,Stafford County,On-Time Graduation Rate,4 yr rate,86.53%,"2,212","1,914","1,221",0,668,13,12,1,37,<,88.38%,7.78%,172,66,19
2008,126,Staunton City,On-Time Graduation Rate,4 yr rate,81.00%,221,179,98,0,63,<,17,1,6,<,84.62%,8.14%,18,7,9
2008,127,Suffolk City,On-Time Graduation Rate,4 yr rate,72.15%,"1,106",798,340,0,429,15,14,3,1,<,73.24%,22.42%,248,46,2
2008,90,Surry County,On-Time Graduation Rate,4 yr rate,86.84%,76,66,45,0,19,0,<,0,1,0,88.16%,11.84%,9,0,0
2008,91,Sussex County,On-Time Graduation Rate,4 yr rate,73.24%,142,104,36,0,58,<,<,1,2,<,76.06%,15.49%,22,4,8
2008,92,Tazewell County,On-Time Graduation Rate,4 yr rate,75.53%,523,395,141,0,219,<,28,45,9,<,86.04%,13.00%,68,5,0
2008,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,84.17%,"5,666","4,766","2,672",74,"1,846",26,151,85,195,<,89.15%,7.01%,397,210,8
2008,93,Warren County,On-Time Graduation Rate,4 yr rate,84.87%,456,387,159,0,200,13,15,22,0,<,90.79%,7.46%,34,8,0
2008,94,Washington County,On-Time Graduation Rate,4 yr rate,83.96%,636,534,246,0,269,18,<,16,36,0,92.14%,6.76%,43,7,0
2008,130,Waynesboro City,On-Time Graduation Rate,4 yr rate,80.91%,241,195,73,0,111,<,<,2,15,<,89.63%,8.71%,21,4,0
2008,207,West Point,On-Time Graduation Rate,4 yr rate,94.03%,67,63,39,0,23,<,0,0,1,0,95.52%,4.48%,3,0,0
2008,95,Westmoreland County,On-Time Graduation Rate,4 yr rate,77.50%,160,124,39,0,75,<,<,7,0,0,81.88%,10.00%,16,13,0
2008,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,79.72%,922,735,482,0,219,20,14,37,33,0,87.31%,10.09%,93,23,1
2008,132,Winchester City,On-Time Graduation Rate,4 yr rate,76.17%,298,227,103,0,112,<,<,10,14,<,84.90%,12.42%,37,7,1
2008,96,Wise County,On-Time Graduation Rate,4 yr rate,83.01%,518,430,172,0,235,18,<,2,15,<,86.68%,12.36%,64,5,0
2008,97,Wythe County,On-Time Graduation Rate,4 yr rate,83.84%,328,275,114,0,141,12,<,18,0,<,90.85%,7.32%,24,6,0
2008,98,York County,On-Time Graduation Rate,4 yr rate,86.33%,"1,134",979,536,17,402,12,12,20,40,<,91.98%,3.88%,44,35,12
2009,1,Accomack County,On-Time Graduation Rate,4 yr rate,69.92%,472,330,132,0,184,<,<,1,15,<,73.73%,23.73%,112,11,1
2009,2,Albemarle County,On-Time Graduation Rate,4 yr rate,89.49%,"1,056",945,647,0,271,<,21,5,21,<,92.14%,6.16%,65,18,0
2009,101,Alexandria City,On-Time Graduation Rate,4 yr rate,77.76%,778,605,227,0,339,18,21,2,34,0,82.39%,14.40%,112,20,5
2009,3,Alleghany County,On-Time Graduation Rate,4 yr rate,85.29%,204,174,101,0,62,<,<,1,0,<,89.71%,9.31%,19,2,0
2009,4,Amelia County,On-Time Graduation Rate,4 yr rate,83.23%,161,134,53,0,70,<,<,1,4,0,86.34%,8.70%,14,8,0
2009,5,Amherst County,On-Time Graduation Rate,4 yr rate,81.90%,420,344,158,0,172,<,<,17,1,<,86.43%,10.71%,45,11,1
2009,6,Appomattox County,On-Time Graduation Rate,4 yr rate,81.71%,175,143,93,0,42,<,0,0,8,0,86.29%,9.71%,17,6,1
2009,7,Arlington County,On-Time Graduation Rate,4 yr rate,84.47%,"1,320","1,115",635,47,396,32,<,3,3,13,85.91%,11.89%,157,29,0
2009,8,Augusta County,On-Time Graduation Rate,4 yr rate,82.38%,942,776,395,0,344,20,17,0,23,0,84.82%,13.91%,131,11,1
2009,9,Bath County,On-Time Graduation Rate,4 yr rate,85.94%,64,55,23,0,29,0,<,0,1,0,87.50%,10.94%,7,1,0
2009,10,Bedford County,On-Time Graduation Rate,4 yr rate,87.54%,931,815,429,0,364,<,13,38,3,<,92.16%,5.59%,52,21,0
2009,11,Bland County,On-Time Graduation Rate,4 yr rate,87.64%,89,78,22,0,49,<,<,0,5,<,94.38%,3.37%,3,1,1
2009,12,Botetourt County,On-Time Graduation Rate,4 yr rate,85.18%,398,339,172,0,152,<,<,11,14,0,91.46%,7.79%,31,3,0
2009,102,Bristol City,On-Time Graduation Rate,4 yr rate,79.06%,191,151,61,0,78,<,<,0,11,<,85.86%,13.09%,25,2,0
2009,13,Brunswick County,On-Time Graduation Rate,4 yr rate,80.82%,146,118,22,0,87,<,<,0,0,0,80.82%,9.59%,14,11,3
2009,14,Buchanan County,On-Time Graduation Rate,4 yr rate,82.54%,252,208,55,0,126,27,0,0,4,<,84.52%,11.90%,30,7,2
2009,15,Buckingham County,On-Time Graduation Rate,4 yr rate,72.19%,187,135,37,0,87,10,<,0,11,0,78.07%,17.65%,33,8,0
2009,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,83.33%,84,70,26,0,34,<,<,0,7,0,91.67%,5.95%,5,1,1
2009,16,Campbell County,On-Time Graduation Rate,4 yr rate,78.51%,740,581,300,0,243,31,<,48,16,<,87.30%,9.73%,72,20,2
2009,17,Caroline County,On-Time Graduation Rate,4 yr rate,75.38%,329,248,99,0,130,<,13,9,8,0,80.55%,14.29%,47,13,4
2009,18,Carroll County,On-Time Graduation Rate,4 yr rate,84.89%,311,264,124,0,123,11,<,1,9,0,88.10%,9.97%,31,6,0
2009,19,Charles City County,On-Time Graduation Rate,4 yr rate,94.12%,68,64,28,0,33,<,<,0,0,0,94.12%,2.94%,2,2,0
2009,20,Charlotte County,On-Time Graduation Rate,4 yr rate,86.03%,179,154,77,0,61,13,<,0,8,0,90.50%,7.26%,13,4,0
2009,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,76.58%,316,242,132,0,86,<,19,10,1,<,81.01%,14.56%,46,12,2
2009,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,86.45%,"3,498","3,024","1,735",26,"1,075",86,102,21,91,<,89.91%,8.55%,299,52,2
2009,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,85.88%,"4,871","4,183","2,359",16,"1,696",53,59,14,76,10,87.93%,10.10%,492,91,5
2009,22,Clarke County,On-Time Graduation Rate,4 yr rate,95.29%,191,182,94,34,49,<,<,1,2,0,96.86%,2.09%,4,2,0
2009,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,74.00%,50,37,20,0,14,<,<,0,4,0,82.00%,8.00%,4,4,1
2009,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,86.32%,234,202,116,0,78,0,<,5,0,0,88.46%,7.26%,17,7,3
2009,107,Covington City,On-Time Graduation Rate,4 yr rate,69.33%,75,52,17,0,29,<,<,2,0,0,72.00%,18.67%,14,6,1
2009,23,Craig County,On-Time Graduation Rate,4 yr rate,81.03%,58,47,30,0,16,<,0,1,1,0,84.48%,13.79%,8,1,0
2009,24,Culpeper County,On-Time Graduation Rate,4 yr rate,85.27%,516,440,192,0,222,<,18,10,5,0,88.18%,8.33%,43,17,1
2009,25,Cumberland County,On-Time Graduation Rate,4 yr rate,75.32%,154,116,61,0,48,<,<,3,3,0,79.22%,14.94%,23,5,4
2009,108,Danville City,On-Time Graduation Rate,4 yr rate,77.67%,533,414,144,0,240,16,14,10,16,<,83.86%,11.82%,63,23,0
2009,26,Dickenson County,On-Time Graduation Rate,4 yr rate,81.77%,203,166,56,0,105,<,<,2,6,<,86.21%,10.34%,21,7,0
2009,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,71.96%,453,326,82,0,213,<,26,27,0,<,78.81%,15.23%,69,18,9
2009,28,Essex County,On-Time Graduation Rate,4 yr rate,86.23%,138,119,60,0,45,<,11,2,1,0,88.41%,9.42%,13,3,0
2009,29,Fairfax County,On-Time Graduation Rate,4 yr rate,90.36%,"13,291","12,010","7,626",282,"3,788",220,94,50,182,<,92.12%,6.26%,832,215,0
2009,109,Falls Church City,On-Time Graduation Rate,4 yr rate,96.25%,160,154,78,23,50,<,0,0,2,0,97.50%,0.63%,1,3,0
2009,30,Fauquier County,On-Time Graduation Rate,4 yr rate,88.13%,969,854,515,0,291,38,10,0,49,<,93.91%,4.95%,48,11,0
2009,31,Floyd County,On-Time Graduation Rate,4 yr rate,88.96%,154,137,73,0,59,<,<,0,0,0,88.96%,11.04%,17,0,0
2009,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,88.46%,286,253,144,0,94,11,<,5,2,0,90.91%,5.59%,16,6,4
2009,135,Franklin City,On-Time Graduation Rate,4 yr rate,71.01%,138,98,40,0,50,<,<,0,9,0,77.54%,19.57%,27,4,0
2009,33,Franklin County,On-Time Graduation Rate,4 yr rate,80.14%,579,464,221,0,207,18,18,0,38,<,86.87%,12.09%,70,6,0
2009,34,Frederick County,On-Time Graduation Rate,4 yr rate,83.92%,"1,045",877,428,0,410,28,11,7,65,<,90.91%,6.51%,68,25,2
2009,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,72.87%,258,188,100,0,88,0,0,3,0,0,74.03%,21.32%,55,12,0
2009,111,Galax City,On-Time Graduation Rate,4 yr rate,84.78%,92,78,48,0,27,<,0,0,2,0,86.96%,10.87%,10,2,0
2009,35,Giles County,On-Time Graduation Rate,4 yr rate,78.49%,186,146,39,0,98,<,<,2,7,<,83.87%,12.37%,23,7,0
2009,36,Gloucester County,On-Time Graduation Rate,4 yr rate,77.37%,517,400,158,0,220,<,19,1,31,0,83.56%,11.03%,57,28,0
2009,37,Goochland County,On-Time Graduation Rate,4 yr rate,84.34%,198,167,86,0,65,<,<,9,3,0,90.40%,7.07%,14,2,3
2009,38,Grayson County,On-Time Graduation Rate,4 yr rate,82.74%,197,163,76,0,75,12,0,13,0,<,90.36%,9.14%,18,1,0
2009,39,Greene County,On-Time Graduation Rate,4 yr rate,90.52%,232,210,96,0,102,10,<,0,7,0,93.53%,6.03%,14,1,0
2009,40,Greensville County,On-Time Graduation Rate,4 yr rate,77.07%,205,158,61,0,79,<,13,1,1,0,78.05%,20.00%,41,4,0
2009,41,Halifax County,On-Time Graduation Rate,4 yr rate,82.54%,527,435,180,0,203,<,49,63,5,<,95.64%,3.23%,17,5,1
2009,112,Hampton City,On-Time Graduation Rate,4 yr rate,75.58%,"1,839","1,390",561,9,735,30,55,4,132,<,83.25%,12.62%,232,58,18
2009,42,Hanover County,On-Time Graduation Rate,4 yr rate,92.27%,"1,629","1,503",921,41,483,48,10,8,39,<,95.33%,3.62%,59,16,1
2009,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,80.64%,346,279,166,0,91,<,18,1,6,21,88.73%,9.54%,33,5,1
2009,43,Henrico County,On-Time Graduation Rate,4 yr rate,81.05%,"3,916","3,174","1,554",50,"1,396",84,90,116,36,92,87.28%,10.21%,400,97,1
