School Year,Division Number,Division Name,School Number,School Name,Race,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,American Indian or Alaska Native,2,,2
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,"Black, not of Hispanic origin",42,,42
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,Hispanic,5,,5
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,"Non-Hispanic, two or more races",3,,3
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,"White, not of Hispanic origin",56,,56
2023-2024,15,Buckingham County,723,Buckingham Co Primary,American Indian or Alaska Native,3,,3
2023-2024,15,Buckingham County,723,Buckingham Co Primary,Asian,1,,1
2023-2024,15,Buckingham County,723,Buckingham Co Primary,"Black, not of Hispanic origin",117,,117
2023-2024,15,Buckingham County,723,Buckingham Co Primary,Hispanic,15,,15
2023-2024,15,Buckingham County,723,Buckingham Co Primary,"Non-Hispanic, two or more races",36,,36
2023-2024,15,Buckingham County,723,Buckingham Co Primary,"White, not of Hispanic origin",179,,179
2023-2024,15,Buckingham County,700,Buckingham County High,"Black, not of Hispanic origin",231,,231
2023-2024,15,Buckingham County,700,Buckingham County High,Hispanic,33,,33
2023-2024,15,Buckingham County,700,Buckingham County High,"Non-Hispanic, two or more races",52,,52
2023-2024,15,Buckingham County,700,Buckingham County High,"White, not of Hispanic origin",369,,369
2023-2024,15,Buckingham County,721,Buckingham County Middle,American Indian or Alaska Native,1,,1
2023-2024,15,Buckingham County,721,Buckingham County Middle,"Black, not of Hispanic origin",143,,143
2023-2024,15,Buckingham County,721,Buckingham County Middle,Hispanic,23,,23
2023-2024,15,Buckingham County,721,Buckingham County Middle,"Non-Hispanic, two or more races",46,,46
2023-2024,15,Buckingham County,721,Buckingham County Middle,"White, not of Hispanic origin",217,,217
2023-2024,104,Charlottesville City,100,Buford Middle,Asian,33,,33
2023-2024,104,Charlottesville City,100,Buford Middle,"Black, not of Hispanic origin",154,,154
2023-2024,104,Charlottesville City,100,Buford Middle,Hispanic,96,,96
2023-2024,104,Charlottesville City,100,Buford Middle,"Non-Hispanic, two or more races",73,,73
2023-2024,104,Charlottesville City,100,Buford Middle,"White, not of Hispanic origin",203,2,205
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,Asian,6,,6
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,"Black, not of Hispanic origin",42,,42
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,Hispanic,38,,38
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,"Non-Hispanic, two or more races",38,,38
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,"White, not of Hispanic origin",161,,161
2023-2024,104,Charlottesville City,140,Charlottesville High,American Indian or Alaska Native,1,,1
2023-2024,104,Charlottesville City,140,Charlottesville High,Asian,79,,79
2023-2024,104,Charlottesville City,140,Charlottesville High,"Black, not of Hispanic origin",381,1,382
2023-2024,104,Charlottesville City,140,Charlottesville High,Hispanic,205,,205
2023-2024,104,Charlottesville City,140,Charlottesville High,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,104,Charlottesville City,140,Charlottesville High,"Non-Hispanic, two or more races",164,,164
2023-2024,104,Charlottesville City,140,Charlottesville High,"White, not of Hispanic origin",574,5,579
2023-2024,104,Charlottesville City,50,Clark Elementary,Asian,40,,40
2023-2024,104,Charlottesville City,50,Clark Elementary,"Black, not of Hispanic origin",95,,95
2023-2024,104,Charlottesville City,50,Clark Elementary,Hispanic,55,,55
2023-2024,104,Charlottesville City,50,Clark Elementary,"Non-Hispanic, two or more races",51,,51
2023-2024,104,Charlottesville City,50,Clark Elementary,"White, not of Hispanic origin",67,,67
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,Asian,15,,15
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,"Black, not of Hispanic origin",41,,41
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,Hispanic,40,,40
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,"Non-Hispanic, two or more races",39,,39
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,"White, not of Hispanic origin",135,,135
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,American Indian or Alaska Native,1,,1
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,Asian,29,,29
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,"Black, not of Hispanic origin",99,,99
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,Hispanic,57,,57
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,"Non-Hispanic, two or more races",53,,53
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,"White, not of Hispanic origin",112,,112
2023-2024,104,Charlottesville City,10,Johnson Elementary,Asian,20,,20
2023-2024,104,Charlottesville City,10,Johnson Elementary,"Black, not of Hispanic origin",103,,103
2023-2024,104,Charlottesville City,10,Johnson Elementary,Hispanic,35,,35
2023-2024,104,Charlottesville City,10,Johnson Elementary,"Non-Hispanic, two or more races",61,,61
2023-2024,104,Charlottesville City,10,Johnson Elementary,"White, not of Hispanic origin",110,,110
2023-2024,104,Charlottesville City,40,Venable Elementary,Asian,18,,18
2023-2024,104,Charlottesville City,40,Venable Elementary,"Black, not of Hispanic origin",90,,90
2023-2024,104,Charlottesville City,40,Venable Elementary,Hispanic,19,,19
2023-2024,104,Charlottesville City,40,Venable Elementary,"Non-Hispanic, two or more races",46,,46
2023-2024,104,Charlottesville City,40,Venable Elementary,"White, not of Hispanic origin",149,,149
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,Asian,33,,33
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,"Black, not of Hispanic origin",159,,159
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,Hispanic,61,,61
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,"Non-Hispanic, two or more races",86,1,87
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,"White, not of Hispanic origin",265,2,267
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,Asian,4,,4
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,"Black, not of Hispanic origin",52,,52
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,Hispanic,46,,46
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,Native Hawaiian  or Pacific Islander,1,,1
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,"Non-Hispanic, two or more races",53,,53
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,"White, not of Hispanic origin",304,,304
2023-2024,32,Fluvanna County,310,Central Elementary,Asian,3,,3
2023-2024,32,Fluvanna County,310,Central Elementary,"Black, not of Hispanic origin",101,,101
2023-2024,32,Fluvanna County,310,Central Elementary,Hispanic,73,,73
2023-2024,32,Fluvanna County,310,Central Elementary,"Non-Hispanic, two or more races",94,,94
2023-2024,32,Fluvanna County,310,Central Elementary,"White, not of Hispanic origin",473,,473
