Diplomas and Completion,,,,,,,,,,,,,
3/28/24,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Level,Division,Subgroup,Cohort,Dropout Count,Dropout Rate,Advanced Diplomas,Standard Count,Other Diplomas Count,GED ISAEP,Standard and Other Diplomas Count,GED Other Non-Graduation Count,Other Non-Graduation Count
2020,DIV,Alleghany Highlands Public Schools,Black,10,0,0,2,6,1,1,0,1,7
2020,DIV,Alleghany Highlands Public Schools,Economically Disadvantaged,76,4,5.3,16,42,7,3,4,7,49
2020,DIV,Alleghany Highlands Public Schools,Female,83,2,2.4,34,40,5,0,2,2,45
2020,DIV,Alleghany Highlands Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2020,DIV,Alleghany Highlands Public Schools,Hispanic,<,<,<,<,<,<,<,<,<,<
2020,DIV,Alleghany Highlands Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Alleghany Highlands Public Schools,Male,85,5,5.9,25,43,5,5,2,7,48
2020,DIV,Alleghany Highlands Public Schools,Multiple Races,<,<,<,<,<,<,<,<,<,<
2020,DIV,Alleghany Highlands Public Schools,Students with Disabilities,17,1,5.9,0,6,10,0,0,0,16
2020,DIV,Alleghany Highlands Public Schools,White,145,5,3.4,53,70,9,4,4,8,79
2020,DIV,Amelia County Public Schools,All Students,110,3,2.7,41,58,3,0,5,5,61
2020,DIV,Amelia County Public Schools,Black,21,0,0,8,12,0,0,1,1,12
2020,DIV,Amelia County Public Schools,Economically Disadvantaged,48,2,4.2,9,32,3,0,2,2,35
2020,DIV,Amelia County Public Schools,English Learners,<,<,<,<,<,<,<,<,<,<
2020,DIV,Amelia County Public Schools,Female,55,0,0,22,31,1,0,1,1,32
2020,DIV,Amelia County Public Schools,Hispanic,<,<,<,<,<,<,<,<,<,<
2020,DIV,Amelia County Public Schools,Male,55,3,5.5,19,27,2,0,4,4,29
2020,DIV,Amelia County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Amelia County Public Schools,Multiple Races,11,0,0,5,6,0,0,0,0,6
2020,DIV,Amelia County Public Schools,Students with Disabilities,20,1,5,0,15,3,0,0,1,18
2020,DIV,Amelia County Public Schools,White,73,2,2.7,26,38,3,0,4,4,41
2020,DIV,Amherst County Public Schools,All Students,302,16,5.3,143,137,5,1,0,1,142
2020,DIV,Amherst County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Amherst County Public Schools,Black,65,3,4.6,25,36,1,0,0,0,37
2020,DIV,Amherst County Public Schools,Economically Disadvantaged,141,12,8.5,44,80,4,1,0,1,84
2020,DIV,Amherst County Public Schools,English Learners,<,<,<,<,<,<,<,<,<,<
2020,DIV,Amherst County Public Schools,Female,144,6,4.2,81,55,2,0,0,0,57
2020,DIV,Amherst County Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2020,DIV,Amherst County Public Schools,Hispanic,11,1,9.1,8,2,0,0,0,0,2
2020,DIV,Amherst County Public Schools,Homeless,<,<,<,<,<,<,<,<,<,<
2020,DIV,Amherst County Public Schools,Male,158,10,6.3,62,82,3,1,0,1,85
2020,DIV,Amherst County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Amherst County Public Schools,Multiple Races,27,2,7.4,11,13,1,0,0,0,14
2020,DIV,Amherst County Public Schools,Students with Disabilities,44,8,18.2,1,30,5,0,0,0,35
2020,DIV,Amherst County Public Schools,White,197,10,5.1,98,85,3,1,0,1,88
2020,DIV,Appomattox County Public Schools,All Students,172,0,0,91,66,10,1,4,5,76
2020,DIV,Appomattox County Public Schools,Black,48,0,0,17,22,6,0,3,3,28
2020,DIV,Appomattox County Public Schools,Economically Disadvantaged,86,0,0,34,38,9,1,4,5,47
2020,DIV,Appomattox County Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2020,DIV,Appomattox County Public Schools,Female,88,0,0,54,29,4,0,1,1,33
2020,DIV,Appomattox County Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2020,DIV,Appomattox County Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Appomattox County Public Schools,Male,84,0,0,37,37,6,1,3,4,43
2020,DIV,Appomattox County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Appomattox County Public Schools,Multiple Races,13,0,0,7,5,0,0,1,1,5
2020,DIV,Appomattox County Public Schools,Students with Disabilities,26,0,0,1,15,10,0,0,0,25
2020,DIV,Appomattox County Public Schools,White,108,0,0,66,38,3,1,0,1,41
2020,DIV,Arlington County Public Schools,All Students,1745,64,3.7,1150,460,38,2,31,33,498
2020,DIV,Arlington County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Arlington County Public Schools,Asian,143,1,0.7,91,42,6,0,3,3,48
2020,DIV,Arlington County Public Schools,Black,203,4,2,101,91,5,0,2,2,96
2020,DIV,Arlington County Public Schools,Economically Disadvantaged,539,20,3.7,230,264,15,0,10,10,279
2020,DIV,Arlington County Public Schools,English Learners,286,39,13.6,64,153,11,1,6,19,164
2020,DIV,Arlington County Public Schools,Female,853,13,1.5,618,190,18,0,14,14,208
2020,DIV,Arlington County Public Schools,Foster Care,<,<,<,<,<,<,<,<,<,<
2020,DIV,Arlington County Public Schools,Hispanic,516,54,10.5,239,197,5,1,20,21,202
2020,DIV,Arlington County Public Schools,Homeless,<,<,<,<,<,<,<,<,<,<
2020,DIV,Arlington County Public Schools,Male,891,50,5.6,532,270,20,2,17,19,290
2020,DIV,Arlington County Public Schools,Military Connected,67,1,1.5,48,17,0,0,1,1,17
2020,DIV,Arlington County Public Schools,Multiple Races,114,0,0,82,26,6,0,0,0,32
2020,DIV,Arlington County Public Schools,Students with Disabilities,278,12,4.3,85,138,38,2,0,5,176
2020,DIV,Arlington County Public Schools,White,767,5,0.7,636,103,16,1,6,7,119
2020,DIV,Augusta County Public Schools,All Students,804,21,2.6,373,374,9,12,15,27,383
2020,DIV,Augusta County Public Schools,American Indian,<,<,<,<,<,<,<,<,<,<
2020,DIV,Augusta County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Augusta County Public Schools,Black,20,0,0,9,8,0,0,3,3,8
2020,DIV,Augusta County Public Schools,Economically Disadvantaged,240,12,5,53,157,2,4,12,16,159
2020,DIV,Augusta County Public Schools,English Learners,11,2,18.2,0,9,0,0,0,0,9
2020,DIV,Augusta County Public Schools,Female,387,2,0.5,219,152,6,4,4,8,158
2020,DIV,Augusta County Public Schools,Foster Care,<,<,<,<,<,<,<,<,<,<
2020,DIV,Augusta County Public Schools,Hispanic,47,5,10.6,16,22,1,1,2,3,23
2020,DIV,Augusta County Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Augusta County Public Schools,Male,417,19,4.6,154,222,3,8,11,19,225
2020,DIV,Augusta County Public Schools,Military Connected,10,0,0,3,7,0,0,0,0,7
2020,DIV,Augusta County Public Schools,Multiple Races,19,1,5.3,10,8,0,0,0,0,8
2020,DIV,Augusta County Public Schools,Native Hawaiian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Augusta County Public Schools,Students with Disabilities,56,6,10.7,1,40,9,0,0,0,49
2020,DIV,Augusta County Public Schools,White,706,14,2,330,333,8,11,10,21,341
2020,DIV,Bath County Public Schools,All Students,39,1,2.6,17,16,3,0,2,2,19
2020,DIV,Bath County Public Schools,Black,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bath County Public Schools,Economically Disadvantaged,18,0,0,8,6,3,0,1,1,9
2020,DIV,Bath County Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bath County Public Schools,Female,13,0,0,7,5,1,0,0,0,6
2020,DIV,Bath County Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bath County Public Schools,Male,26,1,3.8,10,11,2,0,2,2,13
2020,DIV,Bath County Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bath County Public Schools,Students with Disabilities,<,<,<,<,<,<,<,<,<,<
2020,DIV,Bath County Public Schools,White,34,1,2.9,14,14,3,0,2,2,17
2020,DIV,Bedford County Public Schools,All Students,824,34,4.1,413,317,31,9,20,29,348
2020,DIV,Bedford County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bedford County Public Schools,Asian,23,0,0,15,7,1,0,0,0,8
2020,DIV,Bedford County Public Schools,Black,61,2,3.3,20,32,3,0,4,4,35
2020,DIV,Bedford County Public Schools,Economically Disadvantaged,292,20,6.8,80,157,18,4,13,17,175
2020,DIV,Bedford County Public Schools,English Learners,12,3,25,3,6,0,0,0,0,6
2020,DIV,Bedford County Public Schools,Female,388,14,3.6,216,130,15,3,10,13,145
2020,DIV,Bedford County Public Schools,Foster Care,<,<,<,<,<,<,<,<,<,<
2020,DIV,Bedford County Public Schools,Hispanic,25,3,12,4,18,0,0,0,0,18
2020,DIV,Bedford County Public Schools,Homeless,10,1,10,1,6,1,0,1,1,7
2020,DIV,Bedford County Public Schools,Male,436,20,4.6,197,187,16,6,10,16,203
2020,DIV,Bedford County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bedford County Public Schools,Multiple Races,32,1,3.1,13,13,3,0,2,2,16
2020,DIV,Bedford County Public Schools,Students with Disabilities,101,4,4,6,58,31,0,0,2,89
2020,DIV,Bedford County Public Schools,White,682,28,4.1,361,246,24,9,14,23,270
2020,DIV,Bland County Public Schools,All Students,66,1,1.5,11,51,3,0,0,0,54
2020,DIV,Bland County Public Schools,Economically Disadvantaged,24,1,4.2,0,20,3,0,0,0,23
2020,DIV,Bland County Public Schools,Female,32,0,0,7,25,0,0,0,0,25
2020,DIV,Bland County Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bland County Public Schools,Male,34,1,2.9,4,26,3,0,0,0,29
2020,DIV,Bland County Public Schools,Students with Disabilities,15,1,6.7,0,11,3,0,0,0,14
2020,DIV,Bland County Public Schools,White,64,1,1.6,10,51,2,0,0,0,53
2020,DIV,Botetourt County Public Schools,All Students,391,5,1.3,228,137,9,0,12,12,146
2020,DIV,Botetourt County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Botetourt County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Botetourt County Public Schools,Black,10,0,0,5,4,0,0,1,1,4
2020,DIV,Botetourt County Public Schools,Economically Disadvantaged,95,4,4.2,29,52,4,0,6,6,56
2020,DIV,Botetourt County Public Schools,English Learners,<,<,<,<,<,<,<,<,<,<
2020,DIV,Botetourt County Public Schools,Female,180,0,0,119,54,3,0,4,4,57
2020,DIV,Botetourt County Public Schools,Hispanic,17,2,11.8,7,6,2,0,0,0,8
2020,DIV,Botetourt County Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Botetourt County Public Schools,Male,211,5,2.4,109,83,6,0,8,8,89
2020,DIV,Botetourt County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Botetourt County Public Schools,Multiple Races,19,0,0,10,7,0,0,2,2,7
2020,DIV,Botetourt County Public Schools,Students with Disabilities,40,1,2.5,1,27,9,0,1,2,36
2020,DIV,Botetourt County Public Schools,White,340,3,0.9,203,119,7,0,8,8,126
2020,DIV,Bristol City Public Schools,All Students,151,7,4.6,42,78,10,0,14,14,88
2020,DIV,Bristol City Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bristol City Public Schools,Black,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bristol City Public Schools,Economically Disadvantaged,92,5,5.4,15,54,8,0,10,10,62
2020,DIV,Bristol City Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bristol City Public Schools,Female,69,4,5.8,24,32,3,0,6,6,35
2020,DIV,Bristol City Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bristol City Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bristol City Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bristol City Public Schools,Male,82,3,3.7,18,46,7,0,8,8,53
2020,DIV,Bristol City Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2020,DIV,Bristol City Public Schools,Students with Disabilities,18,0,0,0,8,10,0,0,0,18
2020,DIV,Bristol City Public Schools,White,127,7,5.5,40,60,7,0,13,13,67
2020,DIV,Brunswick County Public Schools,All Students,118,5,4.2,32,71,5,1,4,5,76
2020,DIV,Brunswick County Public Schools,Black,97,4,4.1,21,63,5,0,4,4,68
2020,DIV,Brunswick County Public Schools,Economically Disadvantaged,85,4,4.7,13,58,5,1,4,5,63
2020,DIV,Brunswick County Public Schools,Female,50,1,2,19,27,2,0,1,1,29
2020,DIV,Brunswick County Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Brunswick County Public Schools,Male,68,4,5.9,13,44,3,1,3,4,47
2020,DIV,Brunswick County Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2020,DIV,Brunswick County Public Schools,Students with Disabilities,21,2,9.5,0,14,5,0,0,0,19
2020,DIV,Brunswick County Public Schools,White,17,1,5.9,9,6,0,1,0,1,6
2020,DIV,Buchanan County Public Schools,All Students,218,6,2.8,65,134,0,3,10,13,134
2020,DIV,Buchanan County Public Schools,Black,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buchanan County Public Schools,Economically Disadvantaged,139,4,2.9,41,84,0,2,8,10,84
2020,DIV,Buchanan County Public Schools,Female,96,3,3.1,41,48,0,1,3,4,48
2020,DIV,Buchanan County Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buchanan County Public Schools,Male,122,3,2.5,24,86,0,2,7,9,86
2020,DIV,Buchanan County Public Schools,Students with Disabilities,37,3,8.1,1,28,0,0,3,5,28
2020,DIV,Buchanan County Public Schools,White,215,6,2.8,65,131,0,3,10,13,131
2020,DIV,Buckingham County Public Schools,All Students,148,6,4.1,44,86,3,1,8,9,89
2020,DIV,Buckingham County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buckingham County Public Schools,Black,61,2,3.3,13,39,3,0,4,4,42
2020,DIV,Buckingham County Public Schools,Economically Disadvantaged,39,6,15.4,3,27,0,0,3,3,27
2020,DIV,Buckingham County Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buckingham County Public Schools,Female,67,2,3,26,37,1,0,1,1,38
2020,DIV,Buckingham County Public Schools,Foster Care,<,<,<,<,<,<,<,<,<,<
2020,DIV,Buckingham County Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buckingham County Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buckingham County Public Schools,Male,81,4,4.9,18,49,2,1,7,8,51
2020,DIV,Buckingham County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buckingham County Public Schools,Multiple Races,10,1,10,2,7,0,0,0,0,7
2020,DIV,Buckingham County Public Schools,Students with Disabilities,17,1,5.9,0,13,3,0,0,0,16
2020,DIV,Buckingham County Public Schools,White,69,3,4.3,27,35,0,0,4,4,35
2020,DIV,Buena Vista City Public Schools,All Students,78,3,3.8,32,42,0,0,1,1,42
2020,DIV,Buena Vista City Public Schools,Black,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buena Vista City Public Schools,Economically Disadvantaged,29,2,6.9,8,18,0,0,1,1,18
2020,DIV,Buena Vista City Public Schools,Female,39,1,2.6,18,19,0,0,1,1,19
2020,DIV,Buena Vista City Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Buena Vista City Public Schools,Male,39,2,5.1,14,23,0,0,0,0,23
2020,DIV,Buena Vista City Public Schools,Students with Disabilities,<,<,<,<,<,<,<,<,<,<
2020,DIV,Buena Vista City Public Schools,White,73,3,4.1,29,41,0,0,0,0,41
2020,DIV,Campbell County Public Schools,All Students,594,17,2.9,268,277,16,10,6,16,293
2020,DIV,Campbell County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Campbell County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Campbell County Public Schools,Black,85,3,3.5,27,51,2,1,1,2,53
2020,DIV,Campbell County Public Schools,Economically Disadvantaged,225,9,4,65,133,3,9,6,15,136
2020,DIV,Campbell County Public Schools,English Learners,16,4,25,5,7,0,0,0,0,7
2020,DIV,Campbell County Public Schools,Female,303,6,2,158,129,5,3,2,5,134
2020,DIV,Campbell County Public Schools,Foster Care,<,0,0,<,<,<,<,<,<,<
2020,DIV,Campbell County Public Schools,Hispanic,22,4,18.2,8,9,0,1,0,1,9
2020,DIV,Campbell County Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Campbell County Public Schools,Male,291,11,3.8,110,148,11,7,4,11,159
2020,DIV,Campbell County Public Schools,Multiple Races,25,1,4,11,12,0,1,0,1,12
2020,DIV,Campbell County Public Schools,Native Hawaiian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Campbell County Public Schools,Students with Disabilities,80,1,1.3,6,57,16,0,0,0,73
2020,DIV,Campbell County Public Schools,White,450,9,2,213,202,14,7,5,12,216
2020,DIV,Caroline County Public Schools,All Students,289,12,4.2,117,140,9,1,10,11,149
2020,DIV,Caroline County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Caroline County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Caroline County Public Schools,Black,82,4,4.9,32,39,3,0,4,4,42
2020,DIV,Caroline County Public Schools,Economically Disadvantaged,117,6,5.1,27,67,6,1,10,11,73
2020,DIV,Caroline County Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2020,DIV,Caroline County Public Schools,Female,142,5,3.5,71,59,4,0,3,3,63
2020,DIV,Caroline County Public Schools,Hispanic,36,1,2.8,13,21,0,0,1,1,21
2020,DIV,Caroline County Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Caroline County Public Schools,Male,147,7,4.8,46,81,5,1,7,8,86
2020,DIV,Caroline County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Caroline County Public Schools,Multiple Races,26,0,0,10,13,2,1,0,1,15
2020,DIV,Caroline County Public Schools,Students with Disabilities,40,2,5,1,25,9,0,3,3,34
2020,DIV,Caroline County Public Schools,White,142,7,4.9,59,67,4,0,5,5,71
2020,DIV,Carroll County Public Schools,All Students,262,5,1.9,133,112,6,2,4,6,118
2020,DIV,Carroll County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Black,<,0,0,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Economically Disadvantaged,140,5,3.6,56,70,5,2,2,4,75
2020,DIV,Carroll County Public Schools,English Learners,<,0,0,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Female,121,1,0.8,71,46,1,1,1,2,47
2020,DIV,Carroll County Public Schools,Foster Care,<,<,<,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Hispanic,15,0,0,7,8,0,0,0,0,8
2020,DIV,Carroll County Public Schools,Male,141,4,2.8,62,66,5,1,3,4,71
2020,DIV,Carroll County Public Schools,Migrant,<,0,0,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2020,DIV,Carroll County Public Schools,Students with Disabilities,38,4,10.5,3,24,6,1,0,1,30
2020,DIV,Carroll County Public Schools,White,238,5,2.1,122,101,4,2,4,6,105
2020,DIV,Charles City County Public Schools,All Students,50,4,8,15,28,1,0,2,2,29
2020,DIV,Charles City County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charles City County Public Schools,Black,26,3,11.5,6,15,1,0,1,1,16
2020,DIV,Charles City County Public Schools,Economically Disadvantaged,23,3,13,3,15,0,0,2,2,15
2020,DIV,Charles City County Public Schools,Female,17,0,0,8,9,0,0,0,0,9
2020,DIV,Charles City County Public Schools,Homeless,<,<,<,<,<,<,<,<,<,<
2020,DIV,Charles City County Public Schools,Male,33,4,12.1,7,19,1,0,2,2,20
2020,DIV,Charles City County Public Schools,Native Hawaiian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charles City County Public Schools,Students with Disabilities,<,<,<,<,<,<,<,<,<,<
2020,DIV,Charles City County Public Schools,White,18,1,5.6,5,11,0,0,1,1,11
2020,DIV,Charlotte County Public Schools,All Students,132,2,1.5,69,50,3,6,2,8,53
2020,DIV,Charlotte County Public Schools,American Indian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charlotte County Public Schools,Asian,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charlotte County Public Schools,Black,34,1,2.9,18,12,1,2,0,2,13
2020,DIV,Charlotte County Public Schools,Economically Disadvantaged,53,0,0,18,27,2,4,2,6,29
2020,DIV,Charlotte County Public Schools,Female,69,1,1.4,43,22,1,1,1,2,23
2020,DIV,Charlotte County Public Schools,Hispanic,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charlotte County Public Schools,Homeless,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charlotte County Public Schools,Male,63,1,1.6,26,28,2,5,1,6,30
2020,DIV,Charlotte County Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charlotte County Public Schools,Multiple Races,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charlotte County Public Schools,Students with Disabilities,17,0,0,1,12,3,1,0,1,15
2020,DIV,Charlotte County Public Schools,White,86,1,1.2,51,29,1,4,0,4,30
2020,DIV,Charlottesville City Public Schools,All Students,279,6,2.2,170,88,11,0,4,4,99
2020,DIV,Charlottesville City Public Schools,Asian,26,0,0,18,8,0,0,0,0,8
2020,DIV,Charlottesville City Public Schools,Black,81,3,3.7,30,39,7,0,2,2,46
2020,DIV,Charlottesville City Public Schools,Economically Disadvantaged,141,2,1.4,61,66,9,0,3,3,75
2020,DIV,Charlottesville City Public Schools,English Learners,33,2,6.1,8,21,1,0,0,1,22
2020,DIV,Charlottesville City Public Schools,Female,138,4,2.9,88,42,3,0,1,1,45
2020,DIV,Charlottesville City Public Schools,Foster Care,<,<,<,<,<,<,<,<,<,<
2020,DIV,Charlottesville City Public Schools,Hispanic,41,3,7.3,20,15,2,0,1,1,17
2020,DIV,Charlottesville City Public Schools,Homeless,<,<,<,<,<,<,<,<,<,<
2020,DIV,Charlottesville City Public Schools,Male,141,2,1.4,82,46,8,0,3,3,54
2020,DIV,Charlottesville City Public Schools,Military Connected,<,0,0,<,<,<,<,<,<,<
2020,DIV,Charlottesville City Public Schools,Multiple Races,14,0,0,7,7,0,0,0,0,7
2020,DIV,Charlottesville City Public Schools,Students with Disabilities,35,1,2.9,11,12,11,0,0,0,23
