"On-time Graduation Rate"
10/26/2022

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2019,DIV,"Bath County Public Schools","Students with Disabilities",<,<,100,<,100
2019,DIV,"Bath County Public Schools",White,28,26,92.9,26,92.9
2019,DIV,"Bedford County Public Schools","All Students",770,709,92.1,734,95.3
2019,DIV,"Bedford County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Bedford County Public Schools",Asian,16,15,93.8,15,93.8
2019,DIV,"Bedford County Public Schools",Black,53,47,88.7,48,90.6
2019,DIV,"Bedford County Public Schools","Economically Disadvantaged",252,218,86.5,231,91.7
2019,DIV,"Bedford County Public Schools","English Learners",11,4,36.4,5,45.5
2019,DIV,"Bedford County Public Schools",Female,368,347,94.3,353,95.9
2019,DIV,"Bedford County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Bedford County Public Schools",Hispanic,43,32,74.4,35,81.4
2019,DIV,"Bedford County Public Schools",Homeless,20,14,70,14,70
2019,DIV,"Bedford County Public Schools",Male,402,362,90,381,94.8
2019,DIV,"Bedford County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Bedford County Public Schools","Multiple Races",34,31,91.2,32,94.1
2019,DIV,"Bedford County Public Schools","Students with Disabilities",73,59,80.8,62,84.9
2019,DIV,"Bedford County Public Schools",White,620,580,93.5,600,96.8
2019,DIV,"Bland County Public Schools","All Students",47,45,95.7,45,95.7
2019,DIV,"Bland County Public Schools",Black,<,<,100,<,100
2019,DIV,"Bland County Public Schools","Economically Disadvantaged",18,17,94.4,17,94.4
2019,DIV,"Bland County Public Schools",Female,21,20,95.2,20,95.2
2019,DIV,"Bland County Public Schools",Male,26,25,96.2,25,96.2
2019,DIV,"Bland County Public Schools","Students with Disabilities",<,<,100,<,100
2019,DIV,"Bland County Public Schools",White,46,44,95.7,44,95.7
2019,DIV,"Botetourt County Public Schools","All Students",420,402,95.7,404,96.2
2019,DIV,"Botetourt County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Botetourt County Public Schools",Asian,<,<,100,<,100
2019,DIV,"Botetourt County Public Schools",Black,<,<,<,<,<
2019,DIV,"Botetourt County Public Schools","Economically Disadvantaged",87,77,88.5,78,89.7
2019,DIV,"Botetourt County Public Schools","English Learners",<,<,100,<,100
2019,DIV,"Botetourt County Public Schools",Female,220,212,96.4,212,96.4
2019,DIV,"Botetourt County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Botetourt County Public Schools",Hispanic,<,<,<,<,<
2019,DIV,"Botetourt County Public Schools",Homeless,<,<,100,<,100
2019,DIV,"Botetourt County Public Schools",Male,200,190,95,192,96
2019,DIV,"Botetourt County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Botetourt County Public Schools","Multiple Races",19,19,100,19,100
2019,DIV,"Botetourt County Public Schools","Native Hawaiian",<,<,100,<,100
2019,DIV,"Botetourt County Public Schools","Students with Disabilities",36,28,77.8,28,77.8
2019,DIV,"Botetourt County Public Schools",White,377,361,95.8,363,96.3
2019,DIV,"Bristol City Public Schools","All Students",173,163,94.2,165,95.4
2019,DIV,"Bristol City Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Bristol City Public Schools",Black,<,<,100,<,100
2019,DIV,"Bristol City Public Schools","Economically Disadvantaged",100,92,92,93,93
2019,DIV,"Bristol City Public Schools",Female,87,83,95.4,85,97.7
2019,DIV,"Bristol City Public Schools","Foster Care",<,<,100,<,100
2019,DIV,"Bristol City Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Bristol City Public Schools",Homeless,<,<,100,<,100
2019,DIV,"Bristol City Public Schools",Male,86,80,93,80,93
2019,DIV,"Bristol City Public Schools","Multiple Races",<,<,100,<,100
2019,DIV,"Bristol City Public Schools","Students with Disabilities",33,33,100,33,100
2019,DIV,"Bristol City Public Schools",White,158,148,93.7,150,94.9
2019,DIV,"Brunswick County Public Schools","All Students",137,129,94.2,130,94.9
2019,DIV,"Brunswick County Public Schools",Black,103,96,93.2,96,93.2
2019,DIV,"Brunswick County Public Schools","Economically Disadvantaged",91,86,94.5,86,94.5
2019,DIV,"Brunswick County Public Schools",Female,66,66,100,66,100
2019,DIV,"Brunswick County Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Brunswick County Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Brunswick County Public Schools",Male,71,63,88.7,64,90.1
2019,DIV,"Brunswick County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Brunswick County Public Schools","Multiple Races",<,<,100,<,100
2019,DIV,"Brunswick County Public Schools","Students with Disabilities",14,13,92.9,13,92.9
2019,DIV,"Brunswick County Public Schools",White,28,27,96.4,28,100
2019,DIV,"Buchanan County Public Schools","All Students",221,195,88.2,208,94.1
2019,DIV,"Buchanan County Public Schools","Economically Disadvantaged",131,111,84.7,122,93.1
2019,DIV,"Buchanan County Public Schools","English Learners",<,<,100,<,100
2019,DIV,"Buchanan County Public Schools",Female,111,103,92.8,106,95.5
2019,DIV,"Buchanan County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Buchanan County Public Schools",Male,110,92,83.6,102,92.7
2019,DIV,"Buchanan County Public Schools","Multiple Races",<,<,100,<,100
2019,DIV,"Buchanan County Public Schools","Native Hawaiian",<,<,100,<,100
2019,DIV,"Buchanan County Public Schools","Students with Disabilities",31,20,64.5,26,83.9
2019,DIV,"Buchanan County Public Schools",White,217,191,88,204,94
2019,DIV,"Buckingham County Public Schools","All Students",149,142,95.3,142,95.3
2019,DIV,"Buckingham County Public Schools",Black,45,44,97.8,44,97.8
2019,DIV,"Buckingham County Public Schools","Economically Disadvantaged",85,78,91.8,78,91.8
2019,DIV,"Buckingham County Public Schools","English Learners",<,<,100,<,100
2019,DIV,"Buckingham County Public Schools",Female,72,68,94.4,68,94.4
2019,DIV,"Buckingham County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Buckingham County Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Buckingham County Public Schools",Male,77,74,96.1,74,96.1
2019,DIV,"Buckingham County Public Schools","Multiple Races",<,<,100,<,100
2019,DIV,"Buckingham County Public Schools","Students with Disabilities",19,19,100,19,100
2019,DIV,"Buckingham County Public Schools",White,92,86,93.5,86,93.5
2019,DIV,"Buena Vista City Public Schools","All Students",67,56,83.6,57,85.1
2019,DIV,"Buena Vista City Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Buena Vista City Public Schools",Black,<,<,100,<,100
2019,DIV,"Buena Vista City Public Schools","Economically Disadvantaged",24,17,70.8,18,75
2019,DIV,"Buena Vista City Public Schools",Female,26,24,92.3,24,92.3
2019,DIV,"Buena Vista City Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Buena Vista City Public Schools",Male,41,32,78,33,80.5
2019,DIV,"Buena Vista City Public Schools","Multiple Races",<,<,100,<,100
2019,DIV,"Buena Vista City Public Schools","Native Hawaiian",<,<,100,<,100
2019,DIV,"Buena Vista City Public Schools","Students with Disabilities",<,<,<,<,<
2019,DIV,"Buena Vista City Public Schools",White,59,48,81.4,49,83.1
2019,DIV,"Campbell County Public Schools","All Students",612,577,94.3,593,96.9
2019,DIV,"Campbell County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Campbell County Public Schools",Asian,<,<,<,<,<
2019,DIV,"Campbell County Public Schools",Black,104,99,95.2,99,95.2
2019,DIV,"Campbell County Public Schools","Economically Disadvantaged",279,257,92.1,268,96.1
2019,DIV,"Campbell County Public Schools","English Learners",13,11,84.6,11,84.6
2019,DIV,"Campbell County Public Schools",Female,290,277,95.5,282,97.2
2019,DIV,"Campbell County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Campbell County Public Schools",Hispanic,16,13,81.3,13,81.3
2019,DIV,"Campbell County Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Campbell County Public Schools",Male,322,300,93.2,311,96.6
2019,DIV,"Campbell County Public Schools","Multiple Races",34,33,97.1,34,100
2019,DIV,"Campbell County Public Schools","Students with Disabilities",36,35,97.2,35,97.2
2019,DIV,"Campbell County Public Schools",White,450,425,94.4,440,97.8
2019,DIV,"Caroline County Public Schools","All Students",285,255,89.5,258,90.5
2019,DIV,"Caroline County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Caroline County Public Schools",Asian,<,<,100,<,100
2019,DIV,"Caroline County Public Schools",Black,97,90,92.8,90,92.8
2019,DIV,"Caroline County Public Schools","Economically Disadvantaged",125,117,93.6,118,94.4
2019,DIV,"Caroline County Public Schools","English Learners",<,<,<,<,<
2019,DIV,"Caroline County Public Schools",Female,139,129,92.8,129,92.8
2019,DIV,"Caroline County Public Schools",Hispanic,15,12,80,12,80
2019,DIV,"Caroline County Public Schools",Homeless,<,<,100,<,100
2019,DIV,"Caroline County Public Schools",Male,146,126,86.3,129,88.4
2019,DIV,"Caroline County Public Schools","Military Connected",<,<,<,<,<
2019,DIV,"Caroline County Public Schools","Multiple Races",29,28,96.6,28,96.6
2019,DIV,"Caroline County Public Schools","Native Hawaiian",<,<,100,<,100
2019,DIV,"Caroline County Public Schools","Students with Disabilities",28,23,82.1,24,85.7
2019,DIV,"Caroline County Public Schools",White,140,121,86.4,124,88.6
2019,DIV,"Carroll County Public Schools","All Students",272,257,94.5,262,96.3
2019,DIV,"Carroll County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Carroll County Public Schools",Asian,<,<,100,<,100
2019,DIV,"Carroll County Public Schools","Economically Disadvantaged",128,116,90.6,121,94.5
2019,DIV,"Carroll County Public Schools","English Learners",<,<,100,<,100
2019,DIV,"Carroll County Public Schools",Female,139,134,96.4,137,98.6
2019,DIV,"Carroll County Public Schools","Foster Care",<,<,<,<,<
2019,DIV,"Carroll County Public Schools",Hispanic,15,14,93.3,14,93.3
2019,DIV,"Carroll County Public Schools",Homeless,<,<,100,<,100
2019,DIV,"Carroll County Public Schools",Male,133,123,92.5,125,94
2019,DIV,"Carroll County Public Schools",Migrant,<,<,100,<,100
2019,DIV,"Carroll County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Carroll County Public Schools","Multiple Races",<,<,<,<,<
2019,DIV,"Carroll County Public Schools","Students with Disabilities",45,42,93.3,43,95.6
2019,DIV,"Carroll County Public Schools",White,250,237,94.8,242,96.8
2019,DIV,"Charles City County Public Schools","All Students",51,47,92.2,47,92.2
2019,DIV,"Charles City County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Charles City County Public Schools",Black,33,30,90.9,30,90.9
2019,DIV,"Charles City County Public Schools","Economically Disadvantaged",21,19,90.5,19,90.5
2019,DIV,"Charles City County Public Schools",Female,22,21,95.5,21,95.5
2019,DIV,"Charles City County Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Charles City County Public Schools",Homeless,<,<,100,<,100
2019,DIV,"Charles City County Public Schools",Male,29,26,89.7,26,89.7
2019,DIV,"Charles City County Public Schools","Students with Disabilities",<,<,<,<,<
2019,DIV,"Charles City County Public Schools",White,15,14,93.3,14,93.3
2019,DIV,"Charlotte County Public Schools","All Students",130,118,90.8,124,95.4
2019,DIV,"Charlotte County Public Schools",Black,41,39,95.1,41,100
2019,DIV,"Charlotte County Public Schools","Economically Disadvantaged",75,68,90.7,72,96
2019,DIV,"Charlotte County Public Schools",Female,58,56,96.6,57,98.3
2019,DIV,"Charlotte County Public Schools",Hispanic,<,<,<,<,<
2019,DIV,"Charlotte County Public Schools",Male,72,62,86.1,67,93.1
2019,DIV,"Charlotte County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Charlotte County Public Schools","Multiple Races",<,<,100,<,100
2019,DIV,"Charlotte County Public Schools","Students with Disabilities",22,20,90.9,21,95.5
2019,DIV,"Charlotte County Public Schools",White,80,71,88.8,74,92.5
2019,DIV,"Charlottesville City Public Schools","All Students",310,293,94.5,293,94.5
2019,DIV,"Charlottesville City Public Schools",Asian,14,11,78.6,11,78.6
2019,DIV,"Charlottesville City Public Schools",Black,91,88,96.7,88,96.7
2019,DIV,"Charlottesville City Public Schools","Economically Disadvantaged",135,125,92.6,125,92.6
2019,DIV,"Charlottesville City Public Schools","English Learners",29,20,69,20,69
2019,DIV,"Charlottesville City Public Schools",Female,149,141,94.6,141,94.6
2019,DIV,"Charlottesville City Public Schools","Foster Care",<,<,100,<,100
2019,DIV,"Charlottesville City Public Schools",Hispanic,35,27,77.1,27,77.1
2019,DIV,"Charlottesville City Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Charlottesville City Public Schools",Male,161,152,94.4,152,94.4
2019,DIV,"Charlottesville City Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Charlottesville City Public Schools","Multiple Races",23,21,91.3,21,91.3
2019,DIV,"Charlottesville City Public Schools","Students with Disabilities",45,43,95.6,43,95.6
2019,DIV,"Charlottesville City Public Schools",White,147,146,99.3,146,99.3
2019,DIV,"Chesapeake City Public Schools","All Students",3228,3034,94,3084,95.5
2019,DIV,"Chesapeake City Public Schools","American Indian",<,<,<,<,<
2019,DIV,"Chesapeake City Public Schools",Asian,98,95,96.9,95,96.9
2019,DIV,"Chesapeake City Public Schools",Black,1092,1010,92.5,1029,94.2
2019,DIV,"Chesapeake City Public Schools","Economically Disadvantaged",982,914,93.1,932,94.9
2019,DIV,"Chesapeake City Public Schools","English Learners",61,48,78.7,49,80.3
2019,DIV,"Chesapeake City Public Schools",Female,1581,1508,95.4,1531,96.8
2019,DIV,"Chesapeake City Public Schools","Foster Care",12,7,58.3,10,83.3
2019,DIV,"Chesapeake City Public Schools",Hispanic,312,289,92.6,294,94.2
2019,DIV,"Chesapeake City Public Schools",Homeless,19,15,78.9,16,84.2
2019,DIV,"Chesapeake City Public Schools",Male,1647,1526,92.7,1553,94.3
2019,DIV,"Chesapeake City Public Schools","Military Connected",469,462,98.5,465,99.1
2019,DIV,"Chesapeake City Public Schools","Multiple Races",250,240,96,243,97.2
2019,DIV,"Chesapeake City Public Schools","Native Hawaiian",<,<,<,<,<
2019,DIV,"Chesapeake City Public Schools","Students with Disabilities",454,412,90.7,422,93
2019,DIV,"Chesapeake City Public Schools",White,1465,1391,94.9,1414,96.5
2019,DIV,"Chesterfield County Public Schools","All Students",4984,4583,92,4619,92.7
2019,DIV,"Chesterfield County Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Chesterfield County Public Schools",Asian,191,188,98.4,188,98.4
2019,DIV,"Chesterfield County Public Schools",Black,1340,1251,93.4,1256,93.7
2019,DIV,"Chesterfield County Public Schools","Economically Disadvantaged",1888,1661,88,1681,89
2019,DIV,"Chesterfield County Public Schools","English Learners",344,216,62.8,217,63.1
2019,DIV,"Chesterfield County Public Schools",Female,2405,2265,94.2,2280,94.8
2019,DIV,"Chesterfield County Public Schools","Foster Care",19,10,52.6,11,57.9
2019,DIV,"Chesterfield County Public Schools",Hispanic,801,629,78.5,635,79.3
2019,DIV,"Chesterfield County Public Schools",Homeless,64,50,78.1,51,79.7
2019,DIV,"Chesterfield County Public Schools",Male,2579,2318,89.9,2339,90.7
2019,DIV,"Chesterfield County Public Schools","Military Connected",16,16,100,16,100
2019,DIV,"Chesterfield County Public Schools","Multiple Races",202,187,92.6,190,94.1
2019,DIV,"Chesterfield County Public Schools","Native Hawaiian",<,<,100,<,100
2019,DIV,"Chesterfield County Public Schools","Students with Disabilities",586,517,88.2,522,89.1
2019,DIV,"Chesterfield County Public Schools",White,2439,2317,95,2339,95.9
2019,DIV,"Clarke County Public Schools","All Students",168,164,97.6,164,97.6
2019,DIV,"Clarke County Public Schools",Black,<,<,<,<,<
2019,DIV,"Clarke County Public Schools","Economically Disadvantaged",33,30,90.9,30,90.9
2019,DIV,"Clarke County Public Schools","English Learners",<,<,<,<,<
2019,DIV,"Clarke County Public Schools",Female,88,88,100,88,100
2019,DIV,"Clarke County Public Schools",Hispanic,19,18,94.7,18,94.7
2019,DIV,"Clarke County Public Schools",Homeless,<,<,100,<,100
2019,DIV,"Clarke County Public Schools",Male,80,76,95,76,95
2019,DIV,"Clarke County Public Schools","Military Connected",<,<,100,<,100
2019,DIV,"Clarke County Public Schools","Multiple Races",10,10,100,10,100
2019,DIV,"Clarke County Public Schools","Students with Disabilities",12,12,100,12,100
2019,DIV,"Clarke County Public Schools",White,137,135,98.5,135,98.5
2019,DIV,"Colonial Beach Public Schools","All Students",37,36,97.3,36,97.3
2019,DIV,"Colonial Beach Public Schools","American Indian",<,<,100,<,100
2019,DIV,"Colonial Beach Public Schools",Black,<,<,100,<,100
2019,DIV,"Colonial Beach Public Schools","Economically Disadvantaged",17,16,94.1,16,94.1
2019,DIV,"Colonial Beach Public Schools","English Learners",<,<,100,<,100
2019,DIV,"Colonial Beach Public Schools",Female,15,15,100,15,100
2019,DIV,"Colonial Beach Public Schools",Hispanic,<,<,100,<,100
2019,DIV,"Colonial Beach Public Schools",Homeless,<,<,100,<,100
2019,DIV,"Colonial Beach Public Schools",Male,22,21,95.5,21,95.5
2019,DIV,"Colonial Beach Public Schools","Students with Disabilities",<,<,<,<,<
2019,DIV,"Colonial Beach Public Schools",White,25,24,96,24,96
2019,DIV,"Colonial Heights City Public Schools","All Students",234,203,86.8,216,92.3
2019,DIV,"Colonial Heights City Public Schools",Asian,<,<,100,<,100
2019,DIV,"Colonial Heights City Public Schools",Black,44,37,84.1,38,86.4
2019,DIV,"Colonial Heights City Public Schools","Economically Disadvantaged",121,100,82.6,107,88.4
2019,DIV,"Colonial Heights City Public Schools","English Learners",<,<,<,<,<
2019,DIV,"Colonial Heights City Public Schools",Female,116,103,88.8,106,91.4
2019,DIV,"Colonial Heights City Public Schools",Hispanic,19,14,73.7,14,73.7
2019,DIV,"Colonial Heights City Public Schools",Homeless,<,<,<,<,<
2019,DIV,"Colonial Heights City Public Schools",Male,118,100,84.7,110,93.2
2019,DIV,"Colonial Heights City Public Schools","Military Connected",<,<,<,<,<
